date,taster,machine,grinder,coffee,overall,crema,taste
16,RA,RO,NB,4W,1,-1,1
16,RA,VI,NB,4W,1,1,1
16,RA,RO,NB,8W,1,-2,1
16,RA,VI,NB,8W,2,-2,1
16,RA,RO,OB,4W,-1,-1,-1
16,RA,VI,OB,4W,0,0,0
16,RA,RO,OB,8W,-2,1,-1
16,RA,VI,OB,8W,2,-1,2
16,KE,RO,NB,4W,0,-1,-1
16,KE,VI,NB,4W,-1,2,1
16,KE,RO,NB,8W,3,1,2
16,KE,VI,NB,8W,2,1,-1
16,KE,RO,OB,4W,-1,-1,-2
16,KE,VI,OB,4W,1,0,-1
16,KE,RO,OB,8W,2,-1,1
16,KE,VI,OB,8W,-2,-1,-2
17,BO,RO,NB,4W,-1,-1,-1
17,BO,VI,NB,4W,-2,1,1
17,BO,RO,NB,8W,1,1,1
17,BO,VI,NB,8W,2,-1,-2
17,BO,RO,OB,4W,-1,1,1
17,BO,VI,OB,4W,1,1,1
17,BO,RO,OB,8W,-1,1,1
17,BO,VI,OB,8W,-1,-1,-1
17,KE,RO,NB,4W,-1,2,-1
17,KE,VI,NB,4W,1,-2,2
17,KE,RO,NB,8W,1,-1,1
17,KE,VI,NB,8W,2,-1,0
17,KE,RO,OB,4W,1,1,-1
17,KE,VI,OB,4W,2,1,1
17,KE,RO,OB,8W,1,0,0
17,KE,VI,OB,8W,-1,1,-1
18,BO,RO,NB,4W,2,2,2
18,BO,VI,NB,4W,-1,-1,1
18,BO,RO,NB,8W,-2,-2,-1
18,BO,VI,NB,8W,-1,-1,2
18,BO,RO,OB,4W,1,-1,-1
18,BO,VI,OB,4W,-1,-1,1
18,BO,RO,OB,8W,1,1,-1
18,BO,VI,OB,8W,1,1,0
18,KE,RO,NB,4W,-2,1,-1
18,KE,VI,NB,4W,1,0,-1
18,KE,RO,NB,8W,-1,2,-1
18,KE,VI,NB,8W,1,-1,1
18,KE,RO,OB,4W,-1,-1,-1
18,KE,VI,OB,4W,2,-1,-1
18,KE,RO,OB,8W,1,-2,-1
18,KE,VI,OB,8W,-1,0,1
19,RA,RO,NB,4W,-2,-2,-2
19,RA,VI,NB,4W,-2,0,-1
19,RA,RO,NB,8W,0,-1,0
19,RA,VI,NB,8W,-1,-1,-1
19,RA,RO,OB,4W,-2,-1,-2
19,RA,VI,OB,4W,-2,-2,-2
19,RA,RO,OB,8W,1,1,1
19,RA,VI,OB,8W,1,-1,1
19,KE,RO,NB,4W,1,1,1
19,KE,VI,NB,4W,-1,-1,-1
19,KE,RO,NB,8W,-1,-2,1
19,KE,VI,NB,8W,-2,-1,-2
19,KE,RO,OB,4W,1,1,1
19,KE,VI,OB,4W,2,2,2
19,KE,RO,OB,8W,-1,-1,0
19,KE,VI,OB,8W,2,1,1
